row_id	module	suite	class	method	mutator	status	label	line	member_status	declarations	bodies_shown	paragraph_chars	swapped_mutator	word_real	word_swapped	identifiers_missing
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#135	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	createService	VoidMethodCallMutator	NO_COVERAGE	seamless bootstrap	135	RESOLVED	1	1	127	MathMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#182	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	createService	VoidMethodCallMutator	NO_COVERAGE	seamless bootstrap	182	RESOLVED	1	1	127	MathMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.createService#VoidMethodCallMutator#NO_COVERAGE#77	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	createService	VoidMethodCallMutator	NO_COVERAGE	seamless bootstrap	77	RESOLVED	1	1	127	MathMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.lambda$createService$0#NullReturnValsMutator#NO_COVERAGE#102	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	lambda$createService$0	NullReturnValsMutator	NO_COVERAGE	seamless bootstrap	102	RESOLVED	1	1	127	VoidMethodCallMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.lambda$createService$1#NullReturnValsMutator#NO_COVERAGE#127	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	lambda$createService$1	NullReturnValsMutator	NO_COVERAGE	seamless bootstrap	127	RESOLVED	1	1	127	VoidMethodCallMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#NakedReceiverMutator#NO_COVERAGE#43	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	main	NakedReceiverMutator	NO_COVERAGE	seamless bootstrap	43	RESOLVED	1	1	127	MathMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#39	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	main	RemoveConditionalMutator_EQUAL_ELSE	NO_COVERAGE	seamless bootstrap	39	RESOLVED	1	1	127	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#RemoveConditionalMutator_EQUAL_ELSE#NO_COVERAGE#46	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	main	RemoveConditionalMutator_EQUAL_ELSE	NO_COVERAGE	seamless bootstrap	46	RESOLVED	1	1	127	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#39	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	main	RemoveConditionalMutator_EQUAL_IF	NO_COVERAGE	seamless bootstrap	39	RESOLVED	1	1	127	NullReturnValsMutator	false	false	
glam-sdk-java/services#services#SingleAssetFulfillmentServiceEntrypoint.main#RemoveConditionalMutator_EQUAL_IF#NO_COVERAGE#46	glam-sdk-java/services	services	systems.glam.services.fulfillment.SingleAssetFulfillmentServiceEntrypoint	main	RemoveConditionalMutator_EQUAL_IF	NO_COVERAGE	seamless bootstrap	46	RESOLVED	1	1	127	NullReturnValsMutator	false	false	
